,zip,AQI,Category,DateObserved,Latitude,Longitude,ParameterName,ReportingArea,StateCode,type,coordinates,geometry
1395,95037,67,Moderate,2017-10-15,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1396,95037,40,Good,2017-10-15,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1397,94522,54,Moderate,2017-10-15,37.97,-122.03,OZONE,Concord,CA,Point,"[37.97, -122.03]","['Point', [37.97, -122.03]]"
1398,94522,55,Moderate,2017-10-15,37.97,-122.03,PM2.5,Concord,CA,Point,"[37.97, -122.03]","['Point', [37.97, -122.03]]"
1399,95444,40,Good,2017-10-09,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1400,95444,152,Unhealthy,2017-10-09,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1401,95119,44,Good,2017-10-10,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1402,95119,57,Moderate,2017-10-10,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1403,94804,31,Good,2017-10-11,37.97,-122.52,OZONE,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1404,94804,87,Moderate,2017-10-11,37.97,-122.52,PM2.5,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1405,94538,48,Good,2017-10-12,37.55,-122.03,OZONE,Fremont,CA,Point,"[37.55, -122.03]","['Point', [37.55, -122.03]]"
1406,94538,154,Unhealthy,2017-10-12,37.55,-122.03,PM2.5,Fremont,CA,Point,"[37.55, -122.03]","['Point', [37.55, -122.03]]"
1407,94581,48,Good,2017-10-13,38.33,-122.28,OZONE,Napa,CA,Point,"[38.33, -122.28]","['Point', [38.33, -122.28]]"
